year,T1,T2,T3,T4,T5,T6,T7,T8,T9
1977,0.08897953585719537,0.08169934640523419,0.09921394448230832,0.08169934640523419,0.2426726702356564,0.08903524762416418,0.08486772328030184,0.15013283930467125,0.08169934640523419
1978,0.1046246599057235,0.07610350076103929,0.08980213089801635,0.07610350076103929,0.3314695878310292,0.07965907811937915,0.07610350076103929,0.09003054020169446,0.07610350076103929
1979,0.09660612753980272,0.07920774244812381,0.0789156992393369,0.0828307987003569,0.3312294426368644,0.08180847579680306,0.08230277296236889,0.07969153326893219,0.0874074074074111
1980,0.10248268895087813,0.07088490361085421,0.07701559925649755,0.059737156511355326,0.4192954639600243,0.060092190854738436,0.05992474310378123,0.0843814923518062,0.0661857614000645
1981,0.0830639711271666,0.11866582874594259,0.11757263712106371,0.10279879755146683,0.2260679075073264,0.07641815890613972,0.08483239330796816,0.1109525771140023,0.07962772861892359
1982,0.1720612513827673,0.08021426347330793,0.10566471930503864,0.09834007677482512,0.2531140267884554,0.07518702973311833,0.06875223319500057,0.07669444826684772,0.06997195108063922
1983,0.5772076797121637,0.03966120120643872,0.046892687006727427,0.08278402868597327,0.10294306838951037,0.03535713174702357,0.03480457681404573,0.03868125546263557,0.04166837097548167
1984,0.4617179625445185,0.07561605781522351,0.07057405036636862,0.11408231179950229,0.061353446519185416,0.06484019179017185,0.05184732080553139,0.045167118337856256,0.05480154002164224
1985,0.18756857947642372,0.06662452523762251,0.09641112130944582,0.11886882119908633,0.14341080455038632,0.21599848816435985,0.051234613392963105,0.06262823669279617,0.05725480997691601
1986,0.1958006387973893,0.04791315211301218,0.06047752208464422,0.13055815844363042,0.057401828855637126,0.35463494294064546,0.049445844595331016,0.04544717375883779,0.0583207384108724
1987,0.11496661507239715,0.06442778628269,0.0501468973359191,0.17104736429278294,0.06666108347122898,0.3422717374620622,0.05951580419048382,0.07998821373721902,0.05097449815521677
1988,0.10986048240968492,0.041116459474203164,0.06569335624109413,0.1538871266584684,0.06250381297733992,0.41568383035824974,0.037382495146493944,0.05661314939964368,0.05725928733482201
1989,0.11370774565974512,0.04946029926918283,0.0386088810545658,0.21451582034356853,0.05952922614596681,0.20696827291690983,0.04023630762008653,0.2295265796823461,0.04744686730762839
1990,0.08054305876944638,0.05663262646392074,0.04061769501825253,0.15458178713583395,0.056078160381644426,0.28385059791520223,0.04278861506308136,0.2440748023022923,0.04083265695032585
1991,0.07077741391579898,0.049437607957491005,0.05211324757048135,0.14848031056851832,0.057263285458536456,0.07368322885472094,0.03993626893296708,0.4587140967347932,0.04959454000669264
1992,0.07196703409775203,0.09139326612081373,0.07461479993901252,0.2093509143187629,0.0750649438864415,0.0895565546923538,0.04422211718357657,0.2816261567180116,0.0622042130432752
1993,0.05246271005829938,0.07720182877380098,0.036375417611379836,0.13802273530533649,0.04722101319334474,0.05882651990006106,0.03315946768492,0.5081141358148056,0.048616171658051974
1994,0.05888344126071389,0.12364561501984093,0.052031079803164446,0.18823312647547105,0.057032357132897706,0.17488638488291894,0.04382805086288245,0.23770645868720708,0.06375348587490351
1995,0.05520993739595117,0.4882253280396274,0.04292588409732022,0.10612685244115033,0.03565267699286697,0.04997278084548791,0.03639510228548912,0.1377179010467411,0.047773536855365686
1996,0.03980637913087325,0.25853297567755146,0.05194272435622444,0.10616064198737113,0.05333406338544974,0.04334321780711851,0.037765030906653924,0.3545993480924726,0.054515618656285035
1997,0.039865067471467806,0.35379082888924435,0.047760974257820776,0.0734033135527048,0.036719296294086094,0.06588856536801771,0.04675896482036801,0.2680896265397674,0.067723362806523
1998,0.0595064578155682,0.38237429085663877,0.14076649137305475,0.108456138709415,0.04319789433127521,0.06008610816687249,0.07172163901878116,0.04493275767948785,0.08895822204890666
1999,0.043143934621828486,0.3720678681727578,0.13297734740803713,0.08904240809965275,0.04866301987485203,0.09360124473416816,0.13212876902282206,0.04225590008565222,0.04611950798022935
2000,0.040053741800119814,0.17977233816094798,0.13087305064284868,0.13676272560329145,0.07261222165490465,0.0696182489674952,0.256421622832252,0.05434801723861021,0.059538033099530006
2001,0.061895320328548505,0.20714892554431866,0.09869331443351227,0.11744170150529379,0.051095646662551876,0.040562458937310746,0.3189836298809006,0.046863821293921824,0.05731518141364163
2002,0.05701868726336041,0.16060719865089007,0.09165326397632731,0.10446673031766456,0.04206299412750212,0.045255076217814855,0.38915009742089735,0.06611760736101095,0.04366834466453241
2003,0.06202089916413308,0.07275043595695685,0.28343596327857795,0.10202308020513325,0.033136405658497285,0.03715324454936675,0.3146404617195384,0.04776640432107827,0.047073105146718267
2004,0.0412757343181736,0.10878555997721663,0.26618050320406966,0.12761965611926737,0.029123418716787412,0.02831249461543134,0.27420059094586574,0.0795497200698124,0.04495232203337592
2005,0.03360504436638914,0.05866814066774719,0.18941957812702548,0.08790169402958133,0.03213670265478482,0.045550954652747826,0.43856247924749187,0.06580887824753727,0.048346528006695214
2006,0.05014352604908129,0.038314474845277426,0.20030846039425837,0.18160034315623882,0.04350981177002562,0.022416597624026105,0.3586728290270088,0.04391908770001303,0.061114869434070615
2007,0.08323056871384238,0.12927393286355893,0.2672346358592285,0.10358406290591023,0.02659966101914953,0.04097516567359586,0.25044666639164137,0.04863098324378639,0.05002432332928681
2008,0.03240648923375901,0.052864736808346115,0.2942237946337425,0.18006461055884293,0.027063504297531387,0.04894518325680537,0.24476769109289617,0.028750357452112612,0.09091363266596382
2009,0.04948106694776426,0.08298546865811733,0.19527486036640054,0.18794822667995761,0.0402851716969619,0.033610176711421094,0.24189378107470974,0.030346856874383668,0.13817439099028384
2010,0.0467798301538335,0.0755613102653031,0.2691972105570342,0.15833424293025103,0.024762402271212392,0.040156786936291794,0.19176409617766324,0.04352373017995441,0.14992039052845646
2011,0.06556401926162372,0.05041037217417451,0.2667419067841684,0.1461651775313535,0.029925036009821264,0.0344246696058805,0.1221268773991306,0.03695471757842474,0.24768722365542292
2012,0.07548824034711203,0.04560941331278768,0.24575799778204854,0.188892194525953,0.03067336234114926,0.032306984738637703,0.07718226265778162,0.027903952634660095,0.27618559165986994
2013,0.0487039121400031,0.029920980151325258,0.34179425167981226,0.17685443698488326,0.038699428044425596,0.029122172148508357,0.05572608482621222,0.03266954336083456,0.2465091906639954
2014,0.037918274074555496,0.036382558507575526,0.29461398327633614,0.17671272984340633,0.03990162899979688,0.0248736839488102,0.03584651330274029,0.026886934791032893,0.3268636932557462
2015,0.0452555157662447,0.04116236861992328,0.34492645562003765,0.06862706781068575,0.03599928497676873,0.023387622083045793,0.02555768175212271,0.049497084515817726,0.3655869188553537
2016,0.03984239775745517,0.05413256961516943,0.32500215646328584,0.09464871497395291,0.03821583444294104,0.033402341748078185,0.030183339060593343,0.04711893344923629,0.3374537124892878
2017,0.03379505054239508,0.04630711177148724,0.26600232090876624,0.11722596425177516,0.04222523448632203,0.03977890569969264,0.04333110154319643,0.06223676968848039,0.34909754110788477
2018,0.05935710081774752,0.0839215342136016,0.2760631749236791,0.15935237322388582,0.05563692541039945,0.06145201163648944,0.053542191936327255,0.05582681284510348,0.1948478749927662
2019,0.058695394666814955,0.06160023126098999,0.10052150892359676,0.0929934399044419,0.07449112788936756,0.07497556857328116,0.07084984843361786,0.06262807681020931,0.4032448035376805
